Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.001,1.27e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.005,1.21e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0045,1.18e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.002,1.15e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0025,1.11e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.003,1.0800000000000002e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0035,1.06e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.005,1.06e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.004,9e-06,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0045,8.99e-06,,straight,single,Brown2011,,,
