Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
PVDF/PVA/SWCNT,534000.0,DMSO/Acetone,0.055999999999999994,0.00981,25.0,1215.525,xy stage,21.0,0.00015900000000000002,,paper,0.001,1500.0,0.01,1.14828e-05,0.0001,straight,aligned,Luo2016,6.41567005242464e-07,1.2528761950009265e-12,287.0000656749943
PEO,300000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,3.0,0.00016,8.329999999999999e-13,Si,0.005,1000.0,0.4,2.139e-07,4.91497e-05,straight,single,Bu2012,1.1405635648754916e-08,6.174761128983048e-14,1292.7840764272034
PEO,300000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,3.0,0.00016,8.329999999999999e-13,Si,0.005,1000.0,0.2,2.896e-07,4.20932e-05,straight,single,Bu2012,1.1405635648754916e-08,8.360031897865781e-14,1111.0461726970161
PEO,300000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,3.0,0.00016,8.329999999999999e-13,Si,0.005,1000.0,0.1,3.07e-07,,meander,single,Bu2012,1.1405635648754916e-08,8.862326632060755e-14,1079.1012576397934
PEO,300000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,3.0,0.00016,8.329999999999999e-13,Si,0.005,1000.0,0.05,3.439e-07,,meander,single,Bu2012,1.1405635648754916e-08,9.927537878715615e-14,1019.5658922934595
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.005,5000.0,0.0033299999999999996,1.25397e-05,,straight,cross aligned,Hochleitner2014,,,
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.006,5000.0,0.0033299999999999996,1.25949e-05,,straight,cross aligned,Hochleitner2014,,,
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.006999999999999999,5000.0,0.0033299999999999996,1.28567e-05,,straight,cross aligned,Hochleitner2014,,,
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.004,5000.0,0.0033299999999999996,1.3325e-05,,straight,cross aligned,Hochleitner2014,,,
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.003,5000.0,0.0033299999999999996,1.3584e-05,,straight,cross aligned,Hochleitner2014,,,
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.005,5000.0,0.0033299999999999996,1.40927e-05,,straight,cross aligned,Hochleitner2014,,,
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.005,6000.0,0.0033299999999999996,1.60235e-05,,straight,cross aligned,Hochleitner2014,,,
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.005,7000.0,0.0033299999999999996,1.81493e-05,,straight,cross aligned,Hochleitner2014,,,
PEtOx,50000.0,,,,,,melt,,0.00016,,Al,0.005,4000.0,0.0033299999999999996,2.03693e-05,,straight,cross aligned,Hochleitner2014,,,
